symbol,base,status,kind,bars,first_bar,last_bar,ret_listing_to_end,dd_from_ath_high
XTZUPUSDT,XTZUP,BREAK,leveraged,539,2020-08-07,2022-01-27,-0.9996981065088757,-0.9998614340032591
XTZDOWNUSDT,XTZDOWN,BREAK,leveraged,539,2020-08-07,2022-01-27,-0.7499903846153846,-0.927775
MANAUSDT,MANA,TRADING,coin,2234,2020-08-06,2026-09-17,0.2744761250429406,-0.9874237288135593
AUDUSDT,AUD,BREAK,coin,1029,2020-08-07,2023-06-01,0.0204742137479772,-0.7544483383276618
YFIUSDT,YFI,TRADING,coin,2230,2020-08-10,2026-09-17,-0.6628775169805383,-0.9778947368421053
BALUSDT,BAL,BREAK,coin,1710,2020-08-11,2025-04-16,-0.9525352181809257,-0.9871214340889114
BLZUSDT,BLZ,BREAK,coin,1598,2020-08-11,2024-12-25,-0.4933844011142061,-0.9128599020796838
IRISUSDT,IRIS,BREAK,coin,1583,2020-08-11,2024-12-10,-0.9519372693726937,-0.98371875
KMDUSDT,KMD,BREAK,coin,1789,2020-08-11,2025-07-04,-0.977649801179213,-0.9965630666722894
JSTUSDT,JST,TRADING,coin,2229,2020-08-11,2026-09-17,0.6642494561276289,-0.4319025694341304
SRMUSDT,SRM,BREAK,coin,840,2020-08-11,2022-11-28,-0.843611235523706,-0.9822006990969997
ANTUSDT,ANT,BREAK,coin,1287,2020-08-13,2024-02-20,0.11293085314180962,-0.8277441860465116
CRVUSDT,CRV,TRADING,coin,2225,2020-08-15,2026-09-17,-0.9520839363241679,-0.9857622016770587
SANDUSDT,SAND,TRADING,coin,2226,2020-08-14,2026-09-17,-0.4527023955634347,-0.9957443800367595
OCEANUSDT,OCEAN,BREAK,coin,1413,2020-08-19,2024-07-01,0.10803474484256248,-0.6846090450190585
NMRUSDT,NMR,TRADING,coin,2221,2020-08-19,2026-09-17,-0.787542479621664,-0.9084953940634596
DOTUSDT,DOT,TRADING,coin,2222,2020-08-18,2026-09-17,-0.649032258064516,-0.9802504991831549
